Number of Threads    Time (Seconds)  Speedup        
1                    15.228983       1.000000       
2                    9.498031        1.603383       
3                    7.600775        2.003609       
4                    6.626303        2.298262       
5                    6.054808        2.515188       
6                    7.071681        2.153517       
7                    6.683405        2.278626       
8                    6.391284        2.382774       
9                    6.166267        2.469725       
10                   6.001220        2.537648       
11                   6.531578        2.331593       
12                   6.296050        2.418815       
13                   6.172667        2.467164       
14                   6.159316        2.472512       
15                   6.096165        2.498125       
16                   6.206702        2.453635       
